Date,Store,Department,Revenue,Quantity,day_of_week,is_weekend,is_holiday,day_of_month,is_month_start,is_month_end,Revenue_growth,cumulative_Revenue,Revenue_per_day_of_week,Revenue_lag_1,Revenue_lag_7,Revenue_7day_rolling
2022-01-22,XYZ,Household,255988.997995,1125.0,5,1,0,22,0,0,-0.5832037632980566,184699941.57660994,419304.4207309235,614182.604,497466.887,339137.9917102857
2022-01-23,ABC,Beverages,303670.25,868.0,6,1,0,23,0,0,0.18626289558714282,185003611.82660994,430633.82457928616,255988.997995,201955.998,353668.59913885716
2022-01-23,ABC,Grocery,433569.98,2152.11,6,1,0,23,0,0,0.4277657426106112,185437181.80660993,430633.82457928616,303670.25,285967.162,374754.715996
2022-01-23,ABC,Household,243856.0,874.0,6,1,0,23,0,0,-0.4375625360408947,185681037.80660993,430633.82457928616,433569.98,475489.17899,341664.2618545714
2022-01-23,XYZ,Beverages,382628.0,1278.0,6,1,0,23,0,0,0.5690735516042253,186063665.80660993,430633.82457928616,243856.0,325554.000987,349817.690285
2022-01-23,XYZ,Grocery,808249.573,4184.327,6,1,0,23,0,0,1.1123638965261295,186871915.37960994,430633.82457928616,382628.0,214828.0,434592.20071357145
2022-01-23,XYZ,Household,362359.999,1363.0,6,1,0,23,0,0,-0.5516731327738047,187234275.37860996,430633.82457928616,808249.573,614182.604,398617.5428564286
2022-01-24,ABC,Beverages,308841.5,992.0,0,0,0,24,0,0,-0.14769427957747627,187543116.87860996,354874.90183043893,362359.999,255988.997995,406167.90028571425
2022-01-24,ABC,Grocery,478236.646,2317.78,0,0,0,24,0,0,0.5484856989750406,188021353.52460995,354874.90183043893,308841.5,303670.25,431105.9568571429
2022-01-24,ABC,Household,255833.0,935.0,0,0,0,24,0,0,-0.4650493596845776,188277186.52460995,354874.90183043893,478236.646,433569.98,405714.95971428574
2022-01-24,XYZ,Beverages,181011.0,769.0,0,0,0,24,0,0,-0.2924642247090876,188458197.52460995,354874.90183043893,255833.0,243856.0,396737.10257142864
2022-01-24,XYZ,Grocery,469718.999,2562.307,0,0,0,24,0,0,1.5949748855041959,188927916.52360997,354874.90183043893,181011.0,382628.0,409178.67385714286
2022-01-24,XYZ,Household,255181.038,946.0,0,0,0,24,0,0,-0.45673681809068145,189183097.56160995,354874.90183043893,469718.999,808249.573,330168.8831428572
2022-01-25,ABC,Beverages,253524.0,874.0,1,0,0,25,0,0,-0.006493578100422948,189436621.56160995,376486.0646607745,255181.038,362359.999,314620.8832857143
2022-01-25,ABC,Grocery,563885.80498,2729.121,1,0,0,25,0,0,1.2241910232561808,190000507.36658996,376486.0646607745,253524.0,308841.5,351055.78399714286
2022-01-25,ABC,Household,323726.08,1128.0,1,0,0,25,0,0,-0.42590134892386233,190324233.44658998,376486.0646607745,563885.80498,478236.646,328982.8459971429
2022-01-25,XYZ,Beverages,182117.83002,886.0,1,0,0,25,0,0,-0.4374323192620132,190506351.27661,376486.0646607745,323726.08,255833.0,318452.1074285714
2022-01-25,XYZ,Grocery,662692.699992,3661.504,1,0,0,25,0,0,2.6388128494569902,191169043.976602,376486.0646607745,182117.83002,181011.0,387263.778856
2022-01-25,XYZ,Household,298283.40102,1187.0,1,0,0,25,0,0,-0.5498918261456617,191467327.37762198,376486.0646607745,662692.699992,469718.999,362772.97914457147
2022-01-26,ABC,Beverages,382074.0,1095.0,2,0,0,26,0,0,0.28090935899708946,191849401.37762198,375731.7458731569,298283.40102,255181.038,380900.5451445714
2022-01-26,ABC,Grocery,549777.422,2612.746,2,0,0,26,0,0,0.4389291655543168,192399178.79962197,375731.7458731569,382074.0,253524.0,423222.46257314284
2022-01-26,ABC,Household,319838.0,1155.0,2,0,0,26,0,0,-0.41824093314621424,192719016.79962197,375731.7458731569,549777.422,563885.80498,388358.49043314287
2022-01-26,XYZ,Beverages,369852.03998,1123.0,2,0,0,26,0,0,0.1563730387883866,193088868.83960196,375731.7458731569,319838.0,323726.08,394947.91328742856
2022-01-26,XYZ,Grocery,541006.977,2913.409,2,0,0,26,0,0,0.4627659672480251,193629875.81660196,375731.7458731569,369852.03998,182117.83002,446217.79142742854
2022-01-26,XYZ,Household,289925.04,1103.0,2,0,0,26,0,0,-0.4641011071470895,193919800.85660195,375731.7458731569,541006.977,662692.699992,392965.26857142855
2022-01-27,ABC,Beverages,395367.0,1253.0,3,0,0,27,0,0,0.3636869723291236,194315167.85660195,416594.60445696174,289925.04,298283.40102,406834.35414
2022-01-27,ABC,Grocery,557922.715,2602.145,3,0,0,27,0,0,0.41115144915989443,194873090.57160196,416594.60445696174,395367.0,382074.0,431955.59914
2022-01-27,ABC,Household,261352.99999,991.0,3,0,0,27,0,0,-0.5315605675062002,195134443.57159194,416594.60445696174,557922.715,549777.422,390752.1102814286
2022-01-27,XYZ,Beverages,384973.0,1170.0,3,0,0,27,0,0,0.4730001186698831,195519416.57159194,416594.60445696174,261352.99999,319838.0,400057.1102814286
2022-01-27,XYZ,Grocery,556695.964,3012.134,3,0,0,27,0,0,0.4460649552046507,196076112.53559193,416594.60445696174,384973.0,369852.03998,426749.0994271428
2022-01-27,XYZ,Household,266484.029,1091.0,3,0,0,27,0,0,-0.5213113688030977,196342596.56459194,416594.60445696174,556695.964,541006.977,387531.53542714287
2022-01-28,ABC,Beverages,397226.5,1319.0,4,0,0,28,0,0,0.4906202877921815,196739823.06459194,443157.94457545097,266484.029,289925.04,402860.31542714284
2022-01-28,ABC,Grocery,464186.114,2358.758,4,0,0,28,0,0,0.16856784227638388,197204009.17859194,443157.94457545097,397226.5,395367.0,412691.61742714286
2022-01-28,ABC,Household,290746.99899,1062.0,4,0,0,28,0,0,-0.3736413257075588,197494756.17758194,443157.94457545097,464186.114,557922.715,374523.65799714293
2022-01-28,XYZ,Beverages,513057.0,1336.0,4,0,0,28,0,0,0.7646166659751015,198007813.17758194,443157.94457545097,290746.99899,261352.99999,410481.3722842857
2022-01-28,XYZ,Grocery,583466.776,3162.792,4,0,0,28,0,0,0.13723577692147249,198591279.95358193,443157.94457545097,513057.0,384973.0,438837.6259985714
2022-01-28,XYZ,Household,255565.0,1051.0,4,0,0,28,0,0,-0.5619887703768758,198846844.95358193,443157.94457545097,583466.776,556695.964,395818.9168557143
2022-01-29,ABC,Beverages,213541.73,966.0,5,1,0,29,0,0,-0.16443280574413555,199060386.68358192,419304.4207309235,255565.0,266484.029,388255.7312842858
2022-01-29,ABC,Grocery,551861.60102,2587.436,5,1,0,29,0,0,1.5843267309860227,199612248.28460193,419304.4207309235,213541.73,397226.5,410346.4600014286
2022-01-29,ABC,Household,349645.83788,1236.0,5,1,0,29,0,0,-0.3664247752810609,199961894.1224819,419304.4207309235,551861.60102,464186.114,393983.5634128571
2022-01-29,XYZ,Beverages,337437.0,1255.0,5,1,0,29,0,0,-0.03491772690338768,200299331.1224819,419304.4207309235,349645.83788,290746.99899,400653.5635571428
2022-01-29,XYZ,Grocery,667129.626,3539.002,5,1,0,29,0,0,0.9770494225588777,200966460.7484819,419304.4207309235,337437.0,513057.0,422663.93869999994
