Date,Store,Department,Revenue,Quantity,day_of_week,is_weekend,is_holiday,day_of_month,is_month_start,is_month_end,Revenue_growth,cumulative_Revenue,Revenue_per_day_of_week,Revenue_lag_1,Revenue_lag_7,Revenue_7day_rolling,Profile,Size
2022-01-16,ABC,Household,181968.999,724.0,6,1,0,16,0,0,-0.5530861286850295,171294081.449609,430633.82457928616,407167.937,443967.016,311419.2430000001,1,1
2022-01-16,XYZ,Beverages,195056.02,842.0,6,1,0,16,0,0,0.071918959118965,171489137.46960902,430633.82457928616,181968.999,206776.0,309744.9601428571,2,2
2022-01-16,XYZ,Grocery,558762.697,3108.163,6,1,0,16,0,0,1.864626772349811,172047900.16660902,430633.82457928616,195056.02,235791.06,355883.76542857144,2,2
2022-01-16,XYZ,Household,282811.0,1177.0,6,1,0,16,0,0,-0.4938620607309439,172330711.16660902,430633.82457928616,558762.697,603255.614,310105.9634285714,2,2
2022-01-17,ABC,Beverages,196166.832,1540.0,0,0,1,17,0,0,-0.3063677438289175,172526877.998609,354874.90183043893,282811.0,309093.841,293973.53357142856,1,1
2022-01-17,ABC,Grocery,367440.183,1887.07,0,0,1,17,0,0,0.8731004586952804,172894318.181609,354874.90183043893,196166.832,235881.25,312767.6668571429,1,1
2022-01-17,ABC,Household,216857.153,747.0,0,0,1,17,0,0,-0.4098164462322837,173111175.334609,354874.90183043893,367440.183,407167.937,285580.412,1,1
2022-01-17,XYZ,Beverages,321661.0,1297.0,0,0,1,17,0,0,0.4832851743654498,173432836.334609,354874.90183043893,216857.153,181968.999,305536.41214285715,2,2
2022-01-17,XYZ,Grocery,664632.763,3487.211,0,0,1,17,0,0,1.066252243821912,174097469.097609,354874.90183043893,321661.0,195056.02,372618.804,2,2
2022-01-17,XYZ,Household,314360.0,1363.0,0,0,1,17,0,0,-0.5270169972045149,174411829.097609,354874.90183043893,664632.763,558762.697,337704.133,2,2
2022-01-18,ABC,Beverages,430084.5,1473.0,1,0,0,18,0,0,0.3681273062730628,174841913.597609,376486.0646607745,314360.0,282811.0,358743.2044285714,1,1
2022-01-18,ABC,Grocery,604817.603,2574.993,1,0,0,18,0,0,0.4062762154878867,175446731.200609,376486.0646607745,430084.5,196166.832,417121.886,1,1
2022-01-18,ABC,Household,319725.00002,1112.0,1,0,0,18,0,0,-0.4713695526814884,175766456.200629,376486.0646607745,604817.603,367440.183,410305.43128857145,1,1
2022-01-18,XYZ,Beverages,200059.311,854.0,1,0,0,18,0,0,-0.3742769223942903,175966515.511629,376486.0646607745,319725.00002,216857.153,407905.7395742857,2,2
2022-01-18,XYZ,Grocery,509943.700996,2794.622,1,0,0,18,0,0,1.548962597376935,176476459.212625,376486.0646607745,200059.311,321661.0,434803.268288,2,2
2022-01-18,XYZ,Household,259589.224993,1046.0,1,0,0,18,0,0,-0.4909453249721851,176736048.437618,376486.0646607745,509943.700996,664632.763,376939.9057155714,2,2
2022-01-19,ABC,Beverages,271255.14,1237.0,2,0,0,19,0,0,0.0449399046024139,177007303.57761797,375731.7458731569,259589.224993,314360.0,370782.0685727143,1,1
2022-01-19,ABC,Grocery,403323.047,1882.58,2,0,0,19,0,0,0.486877067103687,177410626.62461796,375731.7458731569,271255.14,430084.5,366959.00385842856,1,1
2022-01-19,ABC,Household,218658.973,812.0,2,0,0,19,0,0,-0.4578564884242779,177629285.59761795,375731.7458731569,403323.047,604817.603,311793.485287,1,1
2022-01-19,XYZ,Beverages,315504.0,1027.0,2,0,0,19,0,0,0.4429044263369883,177944789.59761795,375731.7458731569,218658.973,319725.00002,311190.48528414284,2,2
2022-01-19,XYZ,Grocery,460323.678,2409.322,2,0,0,19,0,0,0.4590105925756884,178405113.27561796,375731.7458731569,315504.0,200059.311,348371.1091412857,2,2
2022-01-19,XYZ,Household,204574.02,883.0,2,0,0,19,0,0,-0.5555865801020126,178609687.29561797,375731.7458731569,460323.678,509943.700996,304746.86899900006,2,2
2022-01-20,ABC,Beverages,271106.0,1033.0,3,0,0,20,0,0,0.3252220394358971,178880793.29561797,416594.60445696174,204574.02,259589.224993,306392.1225714286,1,1
2022-01-20,ABC,Grocery,405836.326,2079.778,3,0,0,20,0,0,0.4969654895133268,179286629.62161797,416594.60445696174,271106.0,271255.14,325618.0062857143,1,1
2022-01-20,ABC,Household,257406.999,995.0,3,0,0,20,0,0,-0.3657369177938004,179544036.620618,416594.60445696174,405836.326,403323.047,304772.85657142854,1,1
2022-01-20,XYZ,Beverages,231575.0,903.0,3,0,0,20,0,0,-0.1003546877138333,179775611.620618,416594.60445696174,257406.999,218658.973,306618.0032857143,2,2
2022-01-20,XYZ,Grocery,487795.906,2686.039,3,0,0,20,0,0,1.1064273172838175,180263407.526618,416594.60445696174,231575.0,315504.0,331231.1327142857,2,2
2022-01-20,XYZ,Household,245632.012,968.0,3,0,0,20,0,0,-0.4964451136660421,180509039.538618,416594.60445696174,487795.906,460323.678,300560.8947142857,2,2
2022-01-21,ABC,Beverages,292280.0,1161.0,4,0,0,21,0,0,0.1899100513006424,180801319.538618,443157.94457545097,245632.012,204574.02,313090.3204285714,1,1
2022-01-21,ABC,Grocery,463297.20902,2371.411,4,0,0,21,0,0,0.5851143048446694,181264616.747638,443157.94457545097,292280.0,271106.0,340546.20743142854,1,1
2022-01-21,ABC,Household,255875.0,955.0,4,0,0,21,0,0,-0.4477087385411938,181520491.747638,443157.94457545097,463297.20902,405836.326,319123.16086,1,1
2022-01-21,XYZ,Beverages,308017.0,993.0,4,0,0,21,0,0,0.2037791890571567,181828508.747638,443157.94457545097,255875.0,257406.999,326353.16100285714,2,2
2022-01-21,XYZ,Grocery,497466.887,2753.863,4,0,0,21,0,0,0.6150630874269927,182325975.63463795,443157.94457545097,308017.0,231575.0,364337.7162885714,2,2
2022-01-21,XYZ,Household,201955.998,821.0,4,0,0,21,0,0,-0.5940312746886407,182527931.63263795,443157.94457545097,497466.887,487795.906,323503.44371714286,2,2
2022-01-22,ABC,Beverages,285967.162,1257.0,5,1,0,22,0,0,0.4159874667352043,182813898.79463795,419304.4207309235,201955.998,245632.012,329265.6080028572,1,1
2022-01-22,ABC,Grocery,475489.17899,2267.434,5,1,0,22,0,0,0.6627404897279778,183289387.97362795,419304.4207309235,285967.162,292280.0,355438.3478585714,1,1
2022-01-22,ABC,Household,325554.000987,1190.0,5,1,0,22,0,0,-0.315328265348712,183614941.97461492,419304.4207309235,475489.17899,463297.20902,335760.746711,1,1
2022-01-22,XYZ,Beverages,214828.0,924.0,5,1,0,22,0,0,-0.3401156203004905,183829769.97461492,419304.4207309235,325554.000987,255875.0,329896.8895681429,2,2
2022-01-22,XYZ,Grocery,614182.604,3362.031,5,1,0,22,0,0,1.858950434766418,184443952.57861492,419304.4207309235,214828.0,308017.0,373634.8329967143,2,2
2022-01-22,XYZ,Household,255988.997995,1125.0,5,1,0,22,0,0,-0.5832037632980566,184699941.57660997,419304.4207309235,614182.604,497466.887,339137.9917102857,2,2
2022-01-23,ABC,Beverages,303670.25,868.0,6,1,0,23,0,0,0.1862628955871428,185003611.82660997,430633.82457928616,255988.997995,201955.998,353668.5991388572,1,1
2022-01-23,ABC,Grocery,433569.98,2152.11,6,1,0,23,0,0,0.4277657426106112,185437181.80660996,430633.82457928616,303670.25,285967.162,374754.715996,1,1
2022-01-23,ABC,Household,243856.0,874.0,6,1,0,23,0,0,-0.4375625360408947,185681037.80660996,430633.82457928616,433569.98,475489.17899,341664.2618545714,1,1
2022-01-23,XYZ,Beverages,382628.0,1278.0,6,1,0,23,0,0,0.5690735516042253,186063665.80660996,430633.82457928616,243856.0,325554.000987,349817.690285,2,2
2022-01-23,XYZ,Grocery,808249.573,4184.327,6,1,0,23,0,0,1.1123638965261295,186871915.37960997,430633.82457928616,382628.0,214828.0,434592.20071357145,2,2
2022-01-23,XYZ,Household,362359.999,1363.0,6,1,0,23,0,0,-0.5516731327738047,187234275.37861,430633.82457928616,808249.573,614182.604,398617.5428564286,2,2
2022-01-24,ABC,Beverages,308841.5,992.0,0,0,0,24,0,0,-0.1476942795774762,187543116.87861,354874.90183043893,362359.999,255988.997995,406167.9002857143,1,1
2022-01-24,ABC,Grocery,478236.646,2317.78,0,0,0,24,0,0,0.5484856989750406,188021353.52460995,354874.90183043893,308841.5,303670.25,431105.9568571429,1,1
2022-01-24,ABC,Household,255833.0,935.0,0,0,0,24,0,0,-0.4650493596845776,188277186.52460995,354874.90183043893,478236.646,433569.98,405714.95971428574,1,1
2022-01-24,XYZ,Beverages,181011.0,769.0,0,0,0,24,0,0,-0.2924642247090876,188458197.52460995,354874.90183043893,255833.0,243856.0,396737.10257142864,2,2
2022-01-24,XYZ,Grocery,469718.999,2562.307,0,0,0,24,0,0,1.594974885504196,188927916.52361,354874.90183043893,181011.0,382628.0,409178.67385714286,2,2
2022-01-24,XYZ,Household,255181.038,946.0,0,0,0,24,0,0,-0.4567368180906814,189183097.56160995,354874.90183043893,469718.999,808249.573,330168.8831428572,2,2
2022-01-25,ABC,Beverages,253524.0,874.0,1,0,0,25,0,0,-0.0064935781004229,189436621.56160995,376486.0646607745,255181.038,362359.999,314620.8832857143,1,1
2022-01-25,ABC,Grocery,563885.80498,2729.121,1,0,0,25,0,0,1.2241910232561808,190000507.36659,376486.0646607745,253524.0,308841.5,351055.78399714286,1,1
2022-01-25,ABC,Household,323726.08,1128.0,1,0,0,25,0,0,-0.4259013489238623,190324233.44659,376486.0646607745,563885.80498,478236.646,328982.8459971429,1,1
2022-01-25,XYZ,Beverages,182117.83002,886.0,1,0,0,25,0,0,-0.4374323192620132,190506351.27661,376486.0646607745,323726.08,255833.0,318452.1074285714,2,2
2022-01-25,XYZ,Grocery,662692.699992,3661.504,1,0,0,25,0,0,2.6388128494569902,191169043.976602,376486.0646607745,182117.83002,181011.0,387263.778856,2,2
2022-01-25,XYZ,Household,298283.40102,1187.0,1,0,0,25,0,0,-0.5498918261456617,191467327.377622,376486.0646607745,662692.699992,469718.999,362772.97914457147,2,2
2022-01-26,ABC,Beverages,382074.0,1095.0,2,0,0,26,0,0,0.2809093589970894,191849401.377622,375731.7458731569,298283.40102,255181.038,380900.5451445714,1,1
2022-01-26,ABC,Grocery,549777.422,2612.746,2,0,0,26,0,0,0.4389291655543168,192399178.799622,375731.7458731569,382074.0,253524.0,423222.4625731429,1,1
2022-01-26,ABC,Household,319838.0,1155.0,2,0,0,26,0,0,-0.4182409331462142,192719016.799622,375731.7458731569,549777.422,563885.80498,388358.49043314287,1,1
2022-01-26,XYZ,Beverages,369852.03998,1123.0,2,0,0,26,0,0,0.1563730387883866,193088868.839602,375731.7458731569,319838.0,323726.08,394947.91328742856,2,2
2022-01-26,XYZ,Grocery,541006.977,2913.409,2,0,0,26,0,0,0.4627659672480251,193629875.816602,375731.7458731569,369852.03998,182117.83002,446217.7914274285,2,2
2022-01-26,XYZ,Household,289925.04,1103.0,2,0,0,26,0,0,-0.4641011071470895,193919800.85660195,375731.7458731569,541006.977,662692.699992,392965.26857142855,2,2
2022-01-27,ABC,Beverages,395367.0,1253.0,3,0,0,27,0,0,0.3636869723291236,194315167.85660195,416594.60445696174,289925.04,298283.40102,406834.35414,1,1
2022-01-27,ABC,Grocery,557922.715,2602.145,3,0,0,27,0,0,0.4111514491598944,194873090.571602,416594.60445696174,395367.0,382074.0,431955.59914,1,1
2022-01-27,ABC,Household,261352.99999,991.0,3,0,0,27,0,0,-0.5315605675062002,195134443.57159197,416594.60445696174,557922.715,549777.422,390752.1102814286,1,1
2022-01-27,XYZ,Beverages,384973.0,1170.0,3,0,0,27,0,0,0.4730001186698831,195519416.57159197,416594.60445696174,261352.99999,319838.0,400057.1102814286,2,2
2022-01-27,XYZ,Grocery,556695.964,3012.134,3,0,0,27,0,0,0.4460649552046507,196076112.53559196,416594.60445696174,384973.0,369852.03998,426749.0994271428,2,2
2022-01-27,XYZ,Household,266484.029,1091.0,3,0,0,27,0,0,-0.5213113688030977,196342596.56459197,416594.60445696174,556695.964,541006.977,387531.53542714287,2,2
2022-01-28,ABC,Beverages,397226.5,1319.0,4,0,0,28,0,0,0.4906202877921815,196739823.06459197,443157.94457545097,266484.029,289925.04,402860.3154271429,1,1
2022-01-28,ABC,Grocery,464186.114,2358.758,4,0,0,28,0,0,0.1685678422763838,197204009.17859197,443157.94457545097,397226.5,395367.0,412691.61742714286,1,1
2022-01-28,ABC,Household,290746.99899,1062.0,4,0,0,28,0,0,-0.3736413257075588,197494756.17758197,443157.94457545097,464186.114,557922.715,374523.6579971429,1,1
2022-01-28,XYZ,Beverages,513057.0,1336.0,4,0,0,28,0,0,0.7646166659751015,198007813.17758197,443157.94457545097,290746.99899,261352.99999,410481.3722842857,2,2
2022-01-28,XYZ,Grocery,583466.776,3162.792,4,0,0,28,0,0,0.1372357769214724,198591279.95358196,443157.94457545097,513057.0,384973.0,438837.6259985714,2,2
2022-01-28,XYZ,Household,255565.0,1051.0,4,0,0,28,0,0,-0.5619887703768758,198846844.95358196,443157.94457545097,583466.776,556695.964,395818.9168557143,2,2
2022-01-29,ABC,Beverages,213541.73,966.0,5,1,0,29,0,0,-0.1644328057441355,199060386.68358192,419304.4207309235,255565.0,266484.029,388255.7312842858,1,1
2022-01-29,ABC,Grocery,551861.60102,2587.436,5,1,0,29,0,0,1.5843267309860227,199612248.28460196,419304.4207309235,213541.73,397226.5,410346.4600014286,1,1
